timestamp,gpu_index,gpu_name,gpu_utilization_percent,memory_used_mb,memory_total_mb,temperature_c,power_w
152870.893156381,0,NVIDIA GeForce RTX 3090,0.0,22534.0,24576.0,42.0,28.54
152870.97814505,0,NVIDIA GeForce RTX 3090,0.0,22534.0,24576.0,42.0,28.54
152871.064700883,0,NVIDIA GeForce RTX 3090,0.0,22534.0,24576.0,42.0,28.54
152871.147357822,0,NVIDIA GeForce RTX 3090,0.0,22534.0,24576.0,42.0,28.54
152871.234909348,0,NVIDIA GeForce RTX 3090,0.0,22534.0,24576.0,42.0,28.54
152871.316149476,0,NVIDIA GeForce RTX 3090,0.0,22534.0,24576.0,42.0,28.54
152871.397171663,0,NVIDIA GeForce RTX 3090,76.0,22534.0,24576.0,50.0,67.23
152871.476803586,0,NVIDIA GeForce RTX 3090,76.0,22534.0,24576.0,50.0,67.23
152871.556696343,0,NVIDIA GeForce RTX 3090,76.0,22534.0,24576.0,50.0,67.23
152871.636794539,0,NVIDIA GeForce RTX 3090,76.0,22534.0,24576.0,50.0,67.23
152871.72207401,0,NVIDIA GeForce RTX 3090,76.0,22534.0,24576.0,50.0,67.23
152871.808545565,0,NVIDIA GeForce RTX 3090,76.0,22534.0,24576.0,50.0,67.23
152871.893868805,0,NVIDIA GeForce RTX 3090,58.0,22534.0,24576.0,56.0,161.95
152871.97881882,0,NVIDIA GeForce RTX 3090,58.0,22534.0,24576.0,56.0,161.95
152872.062106924,0,NVIDIA GeForce RTX 3090,58.0,22534.0,24576.0,56.0,161.95
152872.142928438,0,NVIDIA GeForce RTX 3090,58.0,22534.0,24576.0,56.0,161.95
152872.229958911,0,NVIDIA GeForce RTX 3090,58.0,22534.0,24576.0,56.0,161.95
152872.317651243,0,NVIDIA GeForce RTX 3090,58.0,22534.0,24576.0,56.0,161.95
152872.402762227,0,NVIDIA GeForce RTX 3090,95.0,22534.0,24576.0,58.0,280.4
152872.487029679,0,NVIDIA GeForce RTX 3090,95.0,22534.0,24576.0,58.0,280.4
152872.573609498,0,NVIDIA GeForce RTX 3090,95.0,22534.0,24576.0,58.0,280.4
152872.65742739,0,NVIDIA GeForce RTX 3090,95.0,22534.0,24576.0,58.0,280.4
152872.739915574,0,NVIDIA GeForce RTX 3090,95.0,22534.0,24576.0,58.0,280.4
152872.820749527,0,NVIDIA GeForce RTX 3090,95.0,22534.0,24576.0,58.0,280.4
152872.900416586,0,NVIDIA GeForce RTX 3090,96.0,22534.0,24576.0,59.0,288.35
152872.980497373,0,NVIDIA GeForce RTX 3090,96.0,22534.0,24576.0,59.0,288.35
152873.05885172,0,NVIDIA GeForce RTX 3090,96.0,22534.0,24576.0,59.0,288.35
152873.137646397,0,NVIDIA GeForce RTX 3090,96.0,22534.0,24576.0,59.0,288.35
152873.230503701,0,NVIDIA GeForce RTX 3090,96.0,22534.0,24576.0,59.0,288.35
152873.316630956,0,NVIDIA GeForce RTX 3090,96.0,22534.0,24576.0,59.0,288.35
152873.406090183,0,NVIDIA GeForce RTX 3090,61.0,22534.0,24576.0,60.0,289.63
152873.493083252,0,NVIDIA GeForce RTX 3090,61.0,22534.0,24576.0,60.0,289.63
152873.58310512,0,NVIDIA GeForce RTX 3090,61.0,22534.0,24576.0,60.0,289.63
152873.670622005,0,NVIDIA GeForce RTX 3090,61.0,22534.0,24576.0,60.0,289.63
152873.774708051,0,NVIDIA GeForce RTX 3090,61.0,22534.0,24576.0,60.0,289.63
152873.861785525,0,NVIDIA GeForce RTX 3090,96.0,22534.0,24576.0,59.0,291.45
152873.953441731,0,NVIDIA GeForce RTX 3090,96.0,22534.0,24576.0,59.0,291.45
152874.04062356,0,NVIDIA GeForce RTX 3090,96.0,22534.0,24576.0,59.0,291.45
152874.125233582,0,NVIDIA GeForce RTX 3090,96.0,22534.0,24576.0,59.0,291.45
152874.214609203,0,NVIDIA GeForce RTX 3090,96.0,22534.0,24576.0,59.0,291.45
152874.302670569,0,NVIDIA GeForce RTX 3090,96.0,22534.0,24576.0,59.0,291.45
152874.388435281,0,NVIDIA GeForce RTX 3090,93.0,22534.0,24576.0,60.0,291.57
152874.469922328,0,NVIDIA GeForce RTX 3090,93.0,22534.0,24576.0,60.0,291.57
152874.556217586,0,NVIDIA GeForce RTX 3090,93.0,22534.0,24576.0,60.0,291.57
152874.641756186,0,NVIDIA GeForce RTX 3090,93.0,22534.0,24576.0,60.0,291.57
152874.726399492,0,NVIDIA GeForce RTX 3090,93.0,22534.0,24576.0,60.0,291.57
152874.807928869,0,NVIDIA GeForce RTX 3090,93.0,22534.0,24576.0,60.0,291.57
152874.884594696,0,NVIDIA GeForce RTX 3090,94.0,22534.0,24576.0,61.0,296.02
152874.976552219,0,NVIDIA GeForce RTX 3090,94.0,22534.0,24576.0,61.0,296.02
152875.060944798,0,NVIDIA GeForce RTX 3090,94.0,22534.0,24576.0,61.0,296.02
152875.146182152,0,NVIDIA GeForce RTX 3090,94.0,22534.0,24576.0,61.0,296.02
152875.235497704,0,NVIDIA GeForce RTX 3090,94.0,22534.0,24576.0,61.0,296.02
152875.32048831,0,NVIDIA GeForce RTX 3090,94.0,22534.0,24576.0,61.0,296.02
152875.400795484,0,NVIDIA GeForce RTX 3090,59.0,22534.0,24576.0,61.0,290.16
152875.489979763,0,NVIDIA GeForce RTX 3090,59.0,22534.0,24576.0,61.0,290.16
152875.574683297,0,NVIDIA GeForce RTX 3090,59.0,22534.0,24576.0,61.0,290.16
152875.653572873,0,NVIDIA GeForce RTX 3090,59.0,22534.0,24576.0,61.0,290.16
152875.733074392,0,NVIDIA GeForce RTX 3090,59.0,22534.0,24576.0,61.0,290.16
152875.819211006,0,NVIDIA GeForce RTX 3090,59.0,22534.0,24576.0,61.0,290.16
152875.90672828,0,NVIDIA GeForce RTX 3090,93.0,22534.0,24576.0,60.0,290.89
152875.997469172,0,NVIDIA GeForce RTX 3090,93.0,22534.0,24576.0,60.0,290.89
152876.080198005,0,NVIDIA GeForce RTX 3090,93.0,22534.0,24576.0,60.0,290.89
152876.161358553,0,NVIDIA GeForce RTX 3090,93.0,22534.0,24576.0,60.0,290.89
152876.250822999,0,NVIDIA GeForce RTX 3090,93.0,22534.0,24576.0,60.0,290.89
152876.337286662,0,NVIDIA GeForce RTX 3090,93.0,22534.0,24576.0,60.0,290.89
152876.423035253,0,NVIDIA GeForce RTX 3090,94.0,22534.0,24576.0,61.0,291.76
152876.508234236,0,NVIDIA GeForce RTX 3090,94.0,22534.0,24576.0,61.0,291.76
152876.595826295,0,NVIDIA GeForce RTX 3090,94.0,22534.0,24576.0,61.0,291.76
152876.679766863,0,NVIDIA GeForce RTX 3090,94.0,22534.0,24576.0,61.0,291.76
152876.770783777,0,NVIDIA GeForce RTX 3090,94.0,22534.0,24576.0,61.0,291.76
152876.855450548,0,NVIDIA GeForce RTX 3090,78.0,22534.0,24576.0,61.0,295.27
152876.939035849,0,NVIDIA GeForce RTX 3090,78.0,22534.0,24576.0,61.0,295.27
152877.024229753,0,NVIDIA GeForce RTX 3090,78.0,22534.0,24576.0,61.0,295.27
152877.110626671,0,NVIDIA GeForce RTX 3090,78.0,22534.0,24576.0,61.0,295.27
152877.195233036,0,NVIDIA GeForce RTX 3090,78.0,22534.0,24576.0,61.0,295.27
152877.287160421,0,NVIDIA GeForce RTX 3090,78.0,22534.0,24576.0,61.0,295.27
152877.377213939,0,NVIDIA GeForce RTX 3090,90.0,22534.0,24576.0,60.0,293.37
152877.472658947,0,NVIDIA GeForce RTX 3090,90.0,22534.0,24576.0,60.0,293.37
152877.59452261,0,NVIDIA GeForce RTX 3090,90.0,22534.0,24576.0,60.0,293.37
152877.696648603,0,NVIDIA GeForce RTX 3090,90.0,22534.0,24576.0,60.0,293.37
152877.787185268,0,NVIDIA GeForce RTX 3090,90.0,22534.0,24576.0,60.0,293.37
152877.882323125,0,NVIDIA GeForce RTX 3090,91.0,22534.0,24576.0,61.0,291.52
152877.970353808,0,NVIDIA GeForce RTX 3090,91.0,22534.0,24576.0,61.0,291.52
152878.05275437,0,NVIDIA GeForce RTX 3090,91.0,22534.0,24576.0,61.0,291.52
152878.139381973,0,NVIDIA GeForce RTX 3090,91.0,22534.0,24576.0,61.0,291.52
152878.221966985,0,NVIDIA GeForce RTX 3090,91.0,22534.0,24576.0,61.0,291.52
152878.316418642,0,NVIDIA GeForce RTX 3090,91.0,22534.0,24576.0,61.0,291.52
152878.40338994,0,NVIDIA GeForce RTX 3090,94.0,22534.0,24576.0,62.0,294.66
152878.488145525,0,NVIDIA GeForce RTX 3090,94.0,22534.0,24576.0,62.0,294.66
152878.569173996,0,NVIDIA GeForce RTX 3090,94.0,22534.0,24576.0,62.0,294.66
152878.658882145,0,NVIDIA GeForce RTX 3090,94.0,22534.0,24576.0,62.0,294.66
152878.75894159,0,NVIDIA GeForce RTX 3090,94.0,22534.0,24576.0,62.0,294.66
